season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
16/17,12/18/2016,Manchester City,Arsenal,W1,Over,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
16/17,3/19/2017,Manchester City,Liverpool,D,Under,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
16/17,4/2/2017,Arsenal,Manchester City,D,Over,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
16/17,10/23/2016,Chelsea,Manchester United,W1,Over,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
16/17,5/7/2017,Arsenal,Manchester United,W1,Under,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
16/17,4/27/2017,Manchester City,Manchester United,D,Under,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
16/17,1/31/2017,Liverpool,Chelsea,D,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
16/17,4/5/2017,Chelsea,Manchester City,W1,Over,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
17/18,12/22/2017,Arsenal,Liverpool,D,Over,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
17/18,3/10/2018,Manchester United,Liverpool,W1,Over,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
17/18,10/14/2017,Liverpool,Manchester United,D,Under,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
17/18,12/2/2017,Arsenal,Manchester United,W2,Over,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
17/18,11/25/2017,Liverpool,Chelsea,D,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
17/18,9/30/2017,Chelsea,Manchester City,W2,Under,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
17/18,4/7/2018,Manchester City,Manchester United,W2,Over,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
17/18,9/9/2017,Manchester City,Liverpool,W1,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
17/18,12/10/2017,Manchester United,Manchester City,W2,Over,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
17/18,1/14/2018,Liverpool,Manchester City,W1,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
17/18,9/17/2017,Chelsea,Arsenal,D,Under,56.27,0.77,1.8,52.83,0.67,1.81,3.44,0.1,-0.01,2.86,28.53,1.43
17/18,2/25/2018,Manchester United,Chelsea,W1,Over,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
